#,Date,Open,Close
184,2019-04-25,1.02,1.02
185,2019-04-26,0.987,0.987
186,2019-04-29,1.012,1.012
187,2019-04-30,1.022,1.022
188,2019-05-02,1.024,1.024
189,2019-05-03,0.45,0.7
190,2019-05-06,0.614,0.614
191,2019-05-07,0.685,0.685
192,2019-05-08,0.631,0.631
193,2019-05-09,0.667,0.667
194,2019-05-10,0.655,0.655
195,2019-05-13,0.639,0.639
196,2019-05-14,0.623,0.623
197,2019-05-15,0.637,0.637
198,2019-05-16,0.628,0.628
199,2019-05-17,0.612,0.612
200,2019-05-20,0.608,0.608
201,2019-05-21,0.563,0.563
202,2019-05-22,0.557,0.557
203,2019-05-23,0.54,0.547
204,2019-05-24,0.512,0.512
205,2019-05-27,0.465,0.465
206,2019-05-28,0.45,0.45
207,2019-05-29,0.508,0.508
208,2019-05-30,0.512,0.512
209,2019-05-31,0.526,0.526
210,2019-06-03,0.57,0.57
211,2019-06-04,0.515,0.515
212,2019-06-05,0.4975,0.4975
213,2019-06-06,0.4615,0.4615
214,2019-06-07,0.4845,0.4845
215,2019-06-11,0.466,0.466
216,2019-06-12,0.456,0.456
217,2019-06-13,0.426,0.426
218,2019-06-14,0.469,0.469
219,2019-06-17,0.4635,0.4635
220,2019-06-18,0.541,0.541
221,2019-06-19,0.49,0.49
222,2019-06-20,0.4795,0.4795
223,2019-06-21,0.478,0.478
224,2019-06-24,0.4715,0.4715
225,2019-06-25,0.47,0.47
226,2019-06-26,0.4675,0.4675
227,2019-06-27,0.475,0.475
228,2019-06-28,0.483,0.483
229,2019-07-01,0.4795,0.4795
230,2019-07-02,0.4845,0.4845
231,2019-07-03,0.478,0.478
232,2019-07-04,0.479,0.479
233,2019-07-05,0.493,0.493
234,2019-07-08,0.492,0.492
235,2019-07-09,0.48,0.48
236,2019-07-10,0.4765,0.4765
237,2019-07-11,0.564,0.564
238,2019-07-12,0.549,0.549
239,2019-07-15,0.543,0.543
240,2019-07-16,0.541,0.541
241,2019-07-17,0.542,0.542
242,2019-07-18,0.509,0.509
243,2019-07-19,0.514,0.514
244,2019-07-22,0.516,0.516
245,2019-07-23,0.528,0.528
246,2019-07-24,0.526,0.526
247,2019-07-25,0.527,0.527
248,2019-07-26,0.521,0.521
249,2019-07-29,0.517,0.517
250,2019-07-30,0.516,0.516
251,2019-07-31,0.502,0.544
